0.6-1万/月,工装夹具设计工程师,上海,无工作经验,招若干人,04-20发布
6-8千/月,机械工程师应届生,上海-闵行区,无工作经验,本科,招9人,04-20发布
0.6-2万/月,机械/研发工程师,上海-松江区,无工作经验,本科,招5人,04-20发布,英语熟练,机械设计制造及其自动化金属材料工程
1-2万/月,专利代理人（电子、通讯或机械方向）,上海-虹口区,2年经验,本科,招1人,04-20发布,英语良好
0.8-1.2万/月,机械设计工程师,上海-松江区,3-4年经验,招若干人,04-20发布
4.5-6千/月,机械绘图员,上海-浦东新区,1年经验,大专,招1人,04-20发布
1-1.5万/月,高级机械设计工程师,上海-闵行区,5-7年经验,大专,招2人,04-20发布,英语良好,机械设计制造及其自动化工业设计
5-8千/月,机械研发工程师,上海-徐汇区,2年经验,本科,招2人,04-20发布
6-8千/月,高新聘请-机械工程师,上海-嘉定区,2年经验,大专,招2人,04-20发布,英语良好,机械工程及自动化机械制造工艺与设备
5-6.5千/月,机械制图员,上海-金山区,1年经验,大专,招1人,04-20发布,机械制造工艺与设备机械电子工程/机电一体化
0.8-1.5万/月,机械工程师,上海-松江区,无工作经验,本科,招10人,04-20发布,英语良好,机械设计制造及其自动化机械电子工程/机电一体化
6-8千/月,机械工程师,上海-闵行区,无工作经验,招1人,04-20发布
0.7-1万/月,机械工程师,上海-奉贤区,3-4年经验,本科,招1人,04-20发布,机械制造工艺与设备机械设计制造及其自动化
1-1.5万/月,机械工程师,上海-浦东新区,3-4年经验,大专,招若干人,04-20发布,英语良好
0.6-2.5万/月,机械设计研发工程师,上海-宝山区,1年经验,本科,招2人,04-20发布,机械设计制造及其自动化应用物理学
6-8千/月,流体机械工程师,上海-闵行区,2年经验,本科,招2人,04-20发布,英语一般,机械制造工艺与设备
6-8千/月,机械工程师,上海-松江区,1年经验,大专,招若干人,04-20发布
6-8千/月,模具设计师机械制图热流道,上海,无工作经验,中专,招3人,04-20发布
4.5-6千/月,机械工程师,上海-青浦区,无工作经验,本科,招1人,04-20发布,普通话熟练,机械设计制造及其自动化集成电路设计与集成系统
6-8千/月,化工机械工程师,上海-浦东新区,1年经验,大专,招5人,04-20发布,英语一般,化工设备与机械化学工程与工艺
6-8千/月,机械设计工程师,上海,5-7年经验,大专,招2人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
5-8千/月,装配工（机械、液压）,上海-浦东新区,无工作经验,招17人,04-20发布
4-5.5千/月,机械设计材料工程自动化等专业应往届生,上海-浦东新区,无工作经验,大专,招1人,04-20发布,英语一般,机械设计制造及其自动化模具设计与制造
0.8-1万/月,机械工程师,上海-青浦区,无工作经验,大专,招若干人,04-20发布
18-28万/年,机械工程师,上海-松江区,无工作经验,硕士,招若干人,04-20发布,英语良好,飞行器制造工程机械工程及自动化
7.5-9千/月,设备工程师/机械工程师,上海-松江区,无工作经验,本科,招若干人,04-20发布
4.5-8千/月,机械设计工程师,上海,无工作经验,招1人,04-20发布
1-1.5万/月,机械工程师（技术方向或者业务方向）,上海-普陀区,无工作经验,本科,招5人,04-20发布,机械设计制造及其自动化
0.6-2万/月,机械工程师,上海-奉贤区,3-4年经验,本科,招2人,04-20发布
6-8千/月,工程机械销售/国际贸易,上海-松江区,3-4年经验,大专,招若干人,04-20发布,英语良好韩语/朝鲜语良好
0.8-1.2万/月,机械工程师(职位编号：001),上海-闵行区,1年经验,高中,招15人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
0.8-1.2万/月,高级机械工程师,上海-闵行区,1年经验,本科,招3人,04-20发布
6-8千/月,机械结构工程师(职位编号：1031),上海-浦东新区,2年经验,大专,招若干人,04-20发布
4.5-6千/月,工程/机械绘图员（可接受实习生）,上海,3-4年经验,本科,招1人,04-20发布,英语良好
5-8千/月,机械工程师,上海-松江区,1年经验,本科,招2人,04-20发布,英语一般,机械设计制造及其自动化
6-8千/月,机械工程师,上海-嘉定区,2年经验,大专,招1人,04-20发布
6-8千/月,机械工程师,上海-杨浦区,1年经验,大专,招2人,04-20发布
0.8-1.5万/月,机械审图,上海,5-7年经验,大专,招若干人,04-20发布
4.5-8千/月,助理机械工程师,上海-奉贤区,无工作经验,大专,招4人,04-20发布
5.5-6.5千/月,自动化机械工程师（设备部储备干部）,上海,无工作经验,本科,招若干人,04-20发布,机械电子工程/机电一体化
5.5-8.5千/月,汽车机械工程师,上海,1年经验,招3人,04-20发布
1-1.5万/月,机械加工工艺工程师,上海,5-7年经验,本科,招1人,04-20发布,英语,制造工程机械制造工艺与设备
0.8-1.5万/月,机械设计高级工程师,上海-闵行区,无工作经验,招2人,04-20发布
1-1.5万/月,机械工程师,上海-青浦区,无工作经验,招2人,04-20发布
