"0.8-1,10",本科,无工作经验,机械设计工程师(000550)(职位编号：000550),上海-闵行区
"0.8-1,10",大专,1年经验,机械结构工程师,上海-闵行区
"6-8,1",本科,3-4年经验,机械设计工程师,上海-普陀区
"0.6-1,10",本科,2年经验,机械工程师,上海
"3.5-4.5,1",本科,无工作经验,机械开发实习生,上海
"0.8-1,10",大专,5-7年经验,机械管理员,上海-徐汇区
"0.7-1,10",本科,3-4年经验,自动化机械工程师,上海-浦东新区
"6-8,1",本科,3-4年经验,机械工程师,上海-浦东新区
"4.5-6,1",大专,1年经验,工程/机械绘图员,上海-静安区
"0.8-1.5,10",招1人,无工作经验,机械工程师,上海-嘉定区
"0.8-1.2,10",本科,5-7年经验,高级机械工程师,上海-松江区
"5.5-8,1",大专,无工作经验,机械工程师,上海-浦东新区
"6-8,1",大专,1年经验,机械绘图员,上海-松江区
"1.5-2.5,10",本科,10年以上经验,机械设计经理（日语）,上海-宝山区
"0.6-1.2,10",大专,2年经验,机械工程师/机械设计工程师,上海-闵行区
"8-10,0.8",本科,3-4年经验,机械设计工程师,上海
"0.8-1.5,10",本科,无工作经验,机械工程师,上海-闵行区
"0.8-1,10",大专,3-4年经验,机械设计工程师1,上海-奉贤区
"6-8,1",大专,1年经验,初级机械工程JuniorMechanicalEngineer,上海-浦东新区
"5-8,1",招2人,无工作经验,机械绘图员,上海-青浦区
"0.6-1.2,10",大专,1年经验,机械工程师,上海-松江区
"6-8,1",大专,2年经验,机械设计工程师,上海-松江区
"4.5-6,1",高中,1年经验,机械项目合伙人,上海-静安区
"3-4.5,1",大专,无工作经验,机械工程师（应届生）,上海-奉贤区
"3-4.5,1",大专,无工作经验,机械工程师助理,上海-浦东新区
"4.5-6,1",本科,无工作经验,机械设计,上海-闵行区
"4.5-6,1",大专,无工作经验,机械工程师,上海-松江区
"4-6,1",大专,1年经验,机械设计绘图员,上海-嘉定区
"10-20,0.8",本科,3-4年经验,机械质量工程师,上海-嘉定区
"3-8,1",大专,无工作经验,机械设计工程师（接受实习生）,上海-嘉定区
"6-8,1",大专,1年经验,机械设计工程师,上海
"4.5-7,1",本科,无工作经验,机械设计工程师（含应届生）,上海
